Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
108,00:00:03.570,7.431676793981481,12.16064453125,13.613145616319445,2.5977647569444446,6.084120008680555
109,00:00:03.604,8.819200303819445,14.975992838541666,16.29836697048611,2.7730034722222223,7.38623046875
110,00:00:03.637,6.748318142361111,10.901692708333334,11.859429253472221,2.6465386284722223,5.738986545138889
111,00:00:03.670,7.194625289351852,12.582600911458334,12.7763671875,2.744601779513889,6.062906901041667
112,00:00:03.704,6.8062518084490735,12.859293619791666,12.111897786458334,2.6806640625,5.626193576388889
113,00:00:03.737,7.120668764467593,10.894775390625,12.466796875,2.7120496961805554,6.183159722222222
114,00:00:03.770,7.372703269675925,13.391927083333334,12.63302951388889,2.7910970052083335,6.693983289930555
115,00:00:03.804,6.945972583912035,12.209065755208334,11.596001519097221,2.8509657118055554,6.390950520833333
116,00:00:03.837,7.404911747685186,13.170572916666666,12.429009331597221,2.8741590711805554,6.911566840277778
117,00:00:03.871,8.740885416666666,14.381103515625,15.18701171875,3.1287977430555554,7.906846788194445
118,00:00:03.904,8.132170500578704,15.889078776041666,14.00461154513889,3.0021158854166665,7.389784071180555
119,00:00:03.937,7.563431351273149,11.66259765625,13.01125759548611,2.946994357638889,6.732042100694445
120,00:00:03.971,8.230179398148149,14.055989583333334,14.275580512152779,3.0211588541666665,7.393798828125
121,00:00:04.004,6.645290798611111,14.754638671875,10.96457248263889,2.856174045138889,6.115125868055555
122,00:00:04.037,7.089147497106481,15.14892578125,11.60549587673611,2.9498155381944446,6.712131076388889
123,00:00:04.071,7.1350278501157405,12.665608723958334,11.652587890625,3.036159939236111,6.716335720486111
124,00:00:04.104,9.440194589120368,17.895100911458332,16.614095052083332,3.2127007378472223,8.493787977430555
125,00:00:04.137,7.344039351851852,12.022298177083334,12.443929036458334,2.983859592013889,6.604329427083333
126,00:00:04.171,7.40015552662037,15.474039713541666,12.339545355902779,3.0647515190972223,6.796169704861111
127,00:00:04.204,6.801712601273148,14.837646484375,11.166937934027779,3.0189073350694446,6.219292534722222
